['s24:60571c969f03722b020107a1cbab6298', 'not-severe_toxicity', 'Miljoona euroa? Oikeasti, M I L J O O N A euroa? No eihän se ole tyhmä joka pyytää, vaan.. Miljoon euroa?!!? Aika kallista. Lennättää spermat pallista:(']
['s24:ee719374189c50916a10fe0771d310ea', 'not-severe_toxicity', 'Hullu Amalia, Pidä syyläinen kärsäsi poissa asioista jotka eivät sinulle kuulu ja joista et ymmärrä mitään.']
['s24:fe58123b98ad859bd26901e5aa3c9b33', 'not-severe_toxicity', 'Köyhän Audikuskin suusta asioita joita juuri itse tekee päivittäin. Tyhmän ylimielistä sakkia... Köyhillähän on juuri kiire eli älä tule sillä rinkelilootallasi kiilaamaan tai perseeseen kiinni niinkuin te pallinaamat aina teette.']
['s24:5bdb058227d59357d7a19ad1ce70dbb5', 'not-severe_toxicity', 'Teuvo on rakkikoira joka tarvii kusitolpan ja sellaisen puutteessa ottaa apostolit kusitolpakseen. Koirat kuulemma merkkaa reviiriään kuseksimalla.']
['s24:8f06b164202503ca39d4eaaeea18b147', 'not-severe_toxicity', 'Eldis - Vitusti liikaa Saa ainaki mut itkemää.']
['s24:37c6d9d5e7648910e93a97bbb89eb832', 'not-severe_toxicity', 'Sinunlaisia nimitteliöitä pitäs vetää tunti turpaan.']
['s24:8874dc6c427eb37b99d6d3b931da50b5', 'not-severe_toxicity', 'Nieletkö spermaa,nainen?  Jos olet raskaana sinun pitäisi! Uusimpien tutkimusten mukaan sperman nieleminen ja sitä kautta elimistöön joutuminen edesauttaa hivenaineiden imeytymistä istukkaan ja sitäkautta sikiöön. Sperma sisältää kovin paljon erilaisia alkuaineita,hyvin hyödyllisä sellaisia. tp://fi.wikipedia.org/wiki/Siemenneste Sen on todettu lievittävän jopa naisten masennusta,jos olet vailla spermaa ole ilomielin mukana auttamassa sinua,Suomen neito,hädässä ystävä tutaan. http://www.mtv3.fi/h/REDACTED/de-viihdetta']
['s24:4f16a2f2094f6388259107fe3f7a9014', 'not-severe_toxicity', 'Tarkoitit siis homopatman ja runkkurobin.']
['s24:1da0d4bb83474d88c97f5fbd9df4cb12', 'not-severe_toxicity', 'Haluuksä nussii mun kans? Tehdään se heti!']
['s24:95f8403eea7c3f748133da73cf4da2bc', 'not-severe_toxicity', 'Niin hullujan täällä asuu. Paperipusiin heiluttelu on selvä tarkoitus pelotella sun lintuja.  Vahdi lintuja ja pidä se hullu ÄMMÄ kurissa.  Linnut ei hääritse ketään.']
['s24:0768acf2fb538826779a3bcfd6d2a44c', 'not-severe_toxicity', 'Haista Lukenut paskas!']
['s24:5573f2b0cf8eac32608d519214445ae2', 'not-severe_toxicity', '"Tosi ""vaikea"" seksielämä..  HAHHAHHAHAHHHAHAHHHAHAHAH..hahha..hhah.haaaaa.. sanon minä. Kuhan kasvat vielä muutaman vuoden niin alat ymmärtää jotakin vaikeuksista. Iske persees vaikka kiukaaseen hetkeks niin tulee muuta mieleen jonkin aikaa."']
['s24:a2dbb8359662b61ea055e27cbc06400b', 'not-severe_toxicity', 'kaatopaikka jätettä.. vie se sun paskas kaatopaikalle ja hanki elämä...']
['s24:0f9404482b29c71e5937e432c7687722', 'not-severe_toxicity', 'sä olet lutterin koira.']
['s24:f34b5edd67f5d8df734b6c0cce319d30', 'not-severe_toxicity', 'HOPLAA LILLIN MAINOS KAIKKEIN PARAS 20 : kymmeneen VUOTEEN LISÄÄ UPEITA MAINOKSIA LILLI.']
['s24:e6f9ca11b9b1afb99964be9a8087fdaf', 'not-severe_toxicity', 'niin niin... naisen syyhän se on että tulee raiskatuksi... Oliskohan juuri tällaisen ajattelumallin syy, ettei raiskatut uskalla suutaan avata, varsinkaan jos raiskaaja on suomalainen.']
['s24:9aa6f31d03ca1093cbf0bc08a3a78830', 'not-severe_toxicity', 'Marko pani Jaria  Homppeli Marko pani Homppeli Jaria takaapäin perseeseen piilopirtissä!! Tämä tarina on tosi!!']
