s24:2f373676747cd3137229ccd555b79500 	 not-severe_toxicity 	 Ei vittu, lökäpöksyt! Ei vittu teidän kanssa...  Niin vittu, vittu, ei sulla paljon sanottavaa oo..  Kuunnelkaa kunnon HEAVY:ä älkääkä räpätkö paskat pöksyis.  Miksi?  Räppärit yms. lökäpöksyt on ihan helvetin naurettavan näkösiä.  Ootko kelannu et sun pukeutumisesta ajatellaan ihan samlla tavalla.... 	 0.9640427231788635
s24:d98f2eb6735e5031085b6e54ceed0282 	 not-severe_toxicity 	 puhalla perseeseen kyrpä! 	 0.947197675704956
s24:10ed587f8f8d71bf8fdfaf9ca19c88d1 	 not-severe_toxicity 	 Vit-tu, että osaakin olla ruma ämmä!!! :-):-):-) 	 0.9690001606941223
s24:27ebae69c63dff8722f2b1200492d93c 	 not-severe_toxicity 	 Opettele kirjoittamaan KUSIPÄÄ!!! 	 0.9542902112007141
s24:2a726dd88d143f83e227ec4d8b2c8a1b 	 severe_toxicity 	 Hahhahahhhahahhhahahaa vitun paska leipoooooo. Ehkä ois wittu kampiaxeli kannattanu kattooooooooooooooooo.  Eli työnnä paskat pilluun/penikseen/perseeseen/ jos sulla on mitään noista vitun kusipäähomo.  Oma on vitun ongelmas saatana ku ostat paskoja vittu työnnä pilluun se saatanan paska ja osta DERB 	 0.9710171222686768
s24:477cb46b1e1aefa69aad7f2f1568c153 	 not-severe_toxicity 	 PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU PERSUPERSU 	 0.9724279642105103
s24:8f42bd0a2586496a7793afa68dae62f3 	 severe_toxicity 	 Haista sinä vit tu saatanan palsta pelle! KYSY, jos uskallat vitu n kanankoipi 	 0.9192721843719482
s24:afaf9a9a1b0936ee47a64d91d38dbb55 	 not-severe_toxicity 	 Haista Vittu  Fuck You. 	 0.9532329440116882
s24:e3b07f6e4e82d2bfe6c0e4239cceba0a 	 not-severe_toxicity 	 Vasurit haaveksivat palestiinalaisesta Palestiinasta ja monirotuisesta Euroopasta. Vitun sekasikiöt. 	 0.905707836151123
s24:2df6a7977e72c2c107250c7e06dc9560 	 not-severe_toxicity 	 Kuulehan ämmä, et ole maailman napa, et edes napanöyhtä!  PJtär 	 0.9607066512107849
