id,label_identity_attack,label_insult,label_obscene,label_severe_toxicity,label_threat,label_toxicity,lang,text
4db479fe05e88395,0,0,0,0,1,0,en-orig,"Regarding your passing 

Because you willfully violate Wikipedia's copyright and because you intentionally publish libel, I will arrange to have your life terminated."
e44b83f9338b5ade,0,0,0,0,1,0,en-orig,"I shalt sever thy head at the neck. 

It will be dreadfully slow and painful, in accordance with Wikipedia policies."
908b347bfd7c9bb6,0,0,0,0,1,0,en-orig,"I'ma smack ya upside da head wit a shovel. 

I'm takin ya down, boi."
a96dbeef4bb6b1be,0,1,0,0,1,0,en-orig,"Contd 

scoundrel the block on padmalskhmi was expired on april 26 2011

so after the block expired i ahve did considerable contribution without vandalism

so i started a discussion with an open mind on ur talk page

and u again abuse me

if u have guts talk to me openly - u delete my discussion and abuse innocent users

you are the real fraud here

u have abused me when i was not at fault - instead if replying to my message

u took my curse you and your family are going to soon die in a car crash
(61.2.73.191  )."
80e0b91bdea43fd3,0,0,0,0,1,0,en-orig,"personal attacks 

dont tell me what i can and can not do i'll come over there right now and throw a brick through ur window"
05ad0cb30f022afd,0,0,0,0,1,0,en-orig,"I'm not talking about wikipedia, I'm talking about real life. All the world except for you gayreeks should be treated nicely, you should be executed."
10dcd8f485bd06f4,0,0,1,0,1,0,en-orig,"""

 Lock Down 

I don't know about the """"Bulgarian BULLSHIT season"""", but don't be fooled from where exactly i connect. If i see you editing, or someone else you send, the DDA40X article one more time, you will spend the next few years in prison. I will arrange you a meeting with certain people for suspicions of terrorism. Yes. I can do that. A terror suspect nowadays, you can kiss your young life goodbye. If you file complaints and i'm banned, you and your naked ass will have the whole time in the world, in the cell block, to think what went wrong. 87.252.167.254  """
eb4b8be2aea5a661,0,0,0,0,1,0,en-orig,"I am going to bash your skull in and urinate all over your corpse. 

I am going to bash your skull in and urinate all over your corpse."
1d0abba33f555b04,0,1,1,0,1,0,en-orig,"""

 Treivas, Miller: you think you're safe over at Fire Island?  
  
We see you bitches are up to the same old same old, """"collaborating"""" on adding content of dubious import, this time photos from FI. Ya know, Miller, that whore Treivas musta really reamed your ass good and hard for you to continue to associate with him, despite the ongoing and ever-increasing threat to your well-being and personal safety. As always, your big mouth is your undoing, telling us where you'll be. You think it's harder to get to you monkeys on FI than it is in the city? Take a good look around you  see any places where somebody can """"lay in waiting?"""" You fcking moron! But listen, we like to be fair, we'll give you a headsup. Didn't we caution you about Columbia?  too bad we couldn't say Hello at that time; maybe this time we will. We're patient. So make like you're crossing the street: look to your right, and to your left...but also look behind you and look way in front of you, and do it all the time 'cause you never know when we might come by. This way you might be able to, how shall we put it??...oh yeah, you might be able to dodge a bullet! 
  
Hope to see you soon (you won't see us).72.76.10.207  """
09eb7d87b8c24ca5,0,0,0,0,1,0,en-orig,"Please stop. If you continue to ignore our policies by introducing inappropriate pages to Wikipedia, you will be blocked."
