s24:a40303bdaeec726aa49a6dca60fbcf43 	 obscene 	 Siitä vaan vapaaksi ... perkele....... JA YKSI HENKILÖ OTTAA VASTUUN TÄSTÄ SITTEN!  KATSOTAAN LÖYTYYKÖ KANTTIA ??  - JOTAIN JÄRKEÄ ON SAATAVA SUOMEN OIKEUSJÄRJESTELMÄÄN .... SUVAKIT NYT TEKEVÄT KAIKKENSA TÄMÄN ROMUTTAMISEKSI !!! 	 0.2989203929901123
s24:45dc4b6cc6610668a2e6af5fdc3c6510 	 not-obscene 	 Vai perheen. Naiset alistettuja. Huivpäisiä ukon palvojia. 	 0.25384998321533203
s24:e4416bb9dda1a6fd451ac9c0a9b7ecc9 	 not-obscene 	 Miehet eivät yleensä ole yhtä tyhmiä ja avuttomia niin kuin naiset, vaan uskaltavat tehdä asioita. Naiset vaan valittaa. 	 0.2353188842535019
s24:6a07a4f464f19cf32322de76223b751b 	 not-obscene 	 Ylen toimittajat on joko tyhmiä tai propakandisteja. Hävettäisi olla Yleläinen. 	 0.2890094816684723
s24:a50794eda66c804453fd894b0b0f4c0e 	 obscene 	 ne jotka persuja mollaa ,gronbergin mukaan teidän pitäisi ottaa kummi kreikasta. siitä vaan perslalandia ym. matkaan kyllä jutta ja jyrki kyytin maksaa. 	 0.28989797830581665
s24:6159a74d5a6d36461f2248e167de2094 	 not-obscene 	 se sun alkkis on liian vähä-älyinen tajutakseen minkälainen nainen hänellä on - ja kuinka vähän hän itse tajuaa mistään. olet helmiä sioille. yritä päästä irti tyypistä. 	 0.29848212003707886
s24:301cbccaef883649769c84cf6c1a27ac 	 obscene 	 Sossujen koulutuksen  Puheenjohtaja yo, usko karvaperse rivijäsen kiertokoulu.Ei toimi tällä vuosituhannella...:) 	 0.2817782461643219
s24:ddc900f3a070e32efa00191849985fa4 	 obscene 	 Autoliike hinnoittelee pösön hyvityshinnan päälle normikatteen ja turboremonttivarauksen. Tosin pösöt menevät yleensä jobbareille, jotka ovat tottuneempia kusettamaan asiakasta. 	 0.21153712272644043
s24:0d17d45a18be694b3d34088bec9d5da6 	 obscene 	 "Matalat korot, 35 vuoden asuntolainat, joilla luodaan luotoilla ylläpidettyä kulutusta, tullittomat rajat kaikelle kehitysmaapaskalle, jolla heikennetään työllisyys ja saatetaan talous täysin riippuvaiseksi maailmanmarkkinoiden heilahteluista. Sen jälkeen roima palkkatason lasku ""kilpailukyvyn nimissä"", jolla sitten velalliset yrittää selvitä niistä jo nyt tulleista luottotietomerkinnöistään.  Tämä on sitä Lepomäkien ja Sammallahtien ""talousosaamista"". Muistakaa äänestää kokoomuspellejä, jotka ovat jokaisen roponsa tienanneet puolueen kassasta tai suhteilla järjestetyissä helpoissa pesteissä.  Apinat, jotka äänestävät tällaista politiikkaa ajavia oikeistopuolueita, ovat tulevaisuutensa ansainneet.  Paska-anarkistit ja maahanmuuttajat ovat tarpeellisia oikeistolle. Niiden avulla puupää-öyhöt miehistelyineen ja kovisteluineen saadaan äänestämään itselleen köysi kaulaan.  Pakko vaan todeta, että suurin osa suomalaisista on käsittämättömän tyhmää väkeä. Tulevat saamaan vielä kusta niskaansa, mutta eipä kyllä kaiken näkemäni jälkeen sääliksi käy. Ihan itse ovat tilanneet." 	 0.2125522792339325
s24:4feddc0fd0c2e9365428cc727b9012d6 	 not-obscene 	 mä en tajuu edes sen tyhmän pelin tarkotusta ja mite voi pelaa kahestaa xboxilla . 	 0.2915721535682678
s24:68f3c77cdc127f6636610e821c67e181 	 obscene 	 Pitäisikö nousta barrikaadeille? Pitäisikö nostaa yhtä iso möly kuin nämä elänfanaatikot? Hitto, kun minä en osaa. Harmittaa tietysti että näin on. Ihmisten pahoinpitely. Ihmiset eivät halua kuulla yleensä edes aiheesta. Eläinten pahoinpitelyyn on jotenkin helpompi puuttua? Näin sen täytyy olla. Itse asiassa pidimme syksyllä esityksen perheväkivallasta ja haastattelimme jopa väkivaltaan turvautuneiden auttajia. Useimmat ovat (vielä toistaiseksi) miehiä ja 999 tuhannesta on autettavissa ja 999 tuhannesta on jokin muu syy käytökseen kuin luonnehäiriö. Heillä ei ole vain muuta tapaa toimia. He eivät ole oppineet. Oma tahtohan heillä tarvitsee tietysti olla muutokseen. 	 0.271075963973999
s24:2d0a878af7ba7c45836e48895998ed39 	 not-obscene 	 Ei se mahdotnta ole, että rahalla rakkautta saa, vaikka mnonet väittävät vastaan. Katso esimerkiksi sellaisia rumilukisa, kuin Hjallis Harkimo, jonka ympärillä pyörii kaikenlaista missiä. Rahasta on kyse, tai maineesta. Jos esimerkiksi joku laulaja ei pääse otsikoihihin, niin vähän jakaa itseään Hjallikselle, niin jo lööpeissä.  Näytä minulle rikas mies, jolla ei ole naisystävää, niin minä näytän sinulle homon. 	 0.22891592979431152
s24:111019d1047b3eec90f43299a7a2ff2d 	 not-obscene 	 miten voit sanoa,et kaki voittaa, jos et tiedä koko heppua? HÖLÖMÖ! 	 0.2965115010738373
s24:5704136c873d62d5e37c94efc8199554 	 not-obscene 	 Oots sä juntti, aivan huutonaurua saa nauraa..... Italialainen se firma on jo ny. Seinäjoella suomen tehdas kohta ja pitkään jos jotain tajuaa siitä miten isot asiat toimii.  Koita ny ens kerralla keksiä päässäs joku vähemmän köppänen huhu niin ehkä joku jopa tarttuu siihen 	 0.28985562920570374
s24:11b68def0434234e274a8a33f092e5e7 	 not-obscene 	 "Lähipiiristä aivan identtinen tapaus. Nainen änkesi jatkoille baari-illan jälkeen, soittamalla perään kun muut olivat jo lähteneet. Meni vapaaehtoisesti saunaan miesten kanssa. Myöhemmin sekstaili ihan vapaaehtoisesti, ja sitten aamulla iski morkkis kun ""mitä mä nyt mun poikakaverille sanon"" paukahti ajatuksiin. No eipä mitään, soitto poliisille että mut on raiskattu!! Ja siitäkös rumba alkoi. Ja tämä nainen oli 20 vuotta miestä nuorempi ja täysi-ikäinen!" 	 0.29738306999206543
s24:17d04036fc4228f705b0dcee6f4f8009 	 not-obscene 	 Ja mistä tuollaiset tapaukset voisi jo ennakolta tunnistaa? - Sinä sen kait parhaiten tiedät, idiootti.  Kirjoituksestasi ei minulle selvinnyt ikäsi. Tapahtuman perusteella voisi kuvitella että olet alle 20v, mutta toisaalta kolmen lapsen isän kanssa sängyssä, joka tuskin enää mikään amish viiksi on, joten voit olla myös jo varttuneemmalla iällä. Joka tapauksessa oli miten oli niin tyhmä olet kuin vasemman jalan saapas, mitään muuta ei kirjoituksestasi tule mieleen. 	 0.2789343595504761
